phrasal_verb,example,description
miss out on,He narrowly missed out on the world record.,"['to fail to include someone or something, usually by accident', 'to lose an opportunity to do or have something']"
mistake for,The gunman had mistaken him for a drug dealer.,['to think that a person or thing is someone or something else']
mistake for,I had mistaken friendship for love.,['to think that a person or thing is someone or something else']
mix up,"I had all her ID because of a mix-up in Bamako, and I took that tin box, with that in it and some other stuff.","['to put things together without any order', 'to think that one person or thing is another person or thing']"
mix up,They look so alike that it’s easy to mix them up.,"['to put things together without any order', 'to think that one person or thing is another person or thing']"
mock up,I mocked up the toy with cardboard.,"['to make a simple copy of something that you will later make or do properly, in order to test it or show people what it will be like']"
mock up,The I-950 viewed the mock-up the computer part of her brain supplied with satisfaction.,"['to make a simple copy of something that you will later make or do properly, in order to test it or show people what it will be like']"
model on,Their economic structure is closely modelled on the British system.,"['to copy a way of doing something or a system', 'to copy the way that someone behaves because you admire them']"
mooch around,Otherwise they have mooched around with their hands in their pockets like a gang of labourers with no hole to dig.,['to spend time in a place without any particular purpose']
mooch around,"Mums mooch around with kids, and there are as many wheelchairs as buggies.",['to spend time in a place without any particular purpose']
mop up,We should be able to mop the rest of this up by the beginning of next week.,"['same as mop', 'to finish something by dealing with a few final details', 'to remove any remaining members of an enemy army from an area after a victory', 'to win, or succeed in doing something']"
mop up,He mopped up the milk with a tissue.,"['same as mop', 'to finish something by dealing with a few final details', 'to remove any remaining members of an enemy army from an area after a victory', 'to win, or succeed in doing something']"
mope about,She spent the whole weekend moping around the house.,"['to spend time somewhere with no particular purpose, feeling bored or unhappy']"
mope around,She spent the whole weekend moping around the house.,"['to spend time somewhere with no particular purpose, feeling bored or unhappy']"
mount up,The soldiers mounted up and rode off.,"['same as mount', 'to get much larger']"
mount up,The costs are beginning to mount up.,"['same as mount', 'to get much larger']"
mouth off,He’s always mouthing off about the state of the roads.,"['to give your opinions about something in a very annoying way, especially when you are complaining or criticizing something']"
move along,A guy in a uniform was moving some kids along.,"['to leave a place when someone in authority tells you to', 'to progress or develop, or to make something progress or develop', 'to tell someone to move away from a place']"
move along,"As the process moved along, I learned that other leaders were being considered for the position.","['to leave a place when someone in authority tells you to', 'to progress or develop, or to make something progress or develop', 'to tell someone to move away from a place']"
move away,But the midfielder failed to get a move away during the summer and had been training with the youth team.,['to stop living in one place and go to live in another']
move away,I moved away from family and friends and got a flat near him.,['to stop living in one place and go to live in another']
move in,But then I remembered an experience Alexis and Chris had had when they first sold their separate homes to move in together.,"['to move closer to a person or place, for example to arrest or attack them', 'to start living in a different house or flat', 'to start living in the same place as someone else']"
move in,He’s moving in with his friends from college.,"['to move closer to a person or place, for example to arrest or attack them', 'to start living in a different house or flat', 'to start living in the same place as someone else']"
move in on,The police are beginning to move in on their principal suspects.,"['to get closer to a person or place, especially to arrest or attack them', 'to try to control something that someone else controlled before']"
move in on,A number of competitors are moving in on our sales territory.,"['to get closer to a person or place, especially to arrest or attack them', 'to try to control something that someone else controlled before']"
move into,"For the tenant, of course, it is just important to know whose house you are moving into.","['to begin a new business or new type of business', 'to start living or operating a business in a place']"
move into,In 2013 they moved into a shared house in east London.,"['to begin a new business or new type of business', 'to start living or operating a business in a place']"
move off,Make sure you look over your shoulder before you move off.,"['if a vehicle moves off, it starts to move']"
move on,They stayed for only a few days before moving on.,"['to change your ideas, attitudes, behaviour etc', 'to leave a place when someone in authority tells you to', 'to leave one place and travel to another', 'to start to continue with your life after you have dealt successfully with a bad experience', 'to stop discussing or doing something and begin discussing or doing something different', 'to tell someone to move away from a place']"
move on,"It’s been a nightmare, but now I just want to forget about it and move on.","['to change your ideas, attitudes, behaviour etc', 'to leave a place when someone in authority tells you to', 'to leave one place and travel to another', 'to start to continue with your life after you have dealt successfully with a bad experience', 'to stop discussing or doing something and begin discussing or doing something different', 'to tell someone to move away from a place']"
move out,I'm hoping to find somewhere to rent soon...' She tries to move out of the hall with Martha hanging on to her.,['permanently to leave the house or flat where you live or the place where you have your business']
move out,"We were still living with Kaye and Hubert, and I felt the time had come for us to move out.",['permanently to leave the house or flat where you live or the place where you have your business']
move over,She moved over to let me pass.,"['to change your position in order to make space for someone or something else', 'to start to do something in a different way', 'to stop doing something in order to let someone else do it']"
move over,They seem to expect older musicians to move over so that the younger ones can get a chance.,"['to change your position in order to make space for someone or something else', 'to start to do something in a different way', 'to stop doing something in order to let someone else do it']"
move towards,It’s likely the other side will move for a retrial.,"['if you move in a particular world, circle, society etc, you spend time with people who belong to that particular group or social class', 'to affect someone emotionally, especially by making them feel sad and serious', 'to begin doing something in order to achieve an aim or solve a problem', 'to begin to live in a different house or area', 'to change from one activity, interest, situation etc to another', 'to change from one subject to another in a discussion, speech, piece of writing etc', 'to change position, or to make someone or something change position', 'to change the position of objects that you use for playing games on boards', 'to change the time or date of an event, meeting, activity etc', 'to get rid of something by selling it', 'to go or travel very fast', 'to go to a different place', 'to influence someone to do something', 'to leave a place', 'to make a formal proposal at a meeting or in court', 'to persuade someone to change their opinion or decision, or to be persuaded to change yours', 'to progress or develop in a particular way']"
move towards,Moving house can be quite a stressful experience.,"['if you move in a particular world, circle, society etc, you spend time with people who belong to that particular group or social class', 'to affect someone emotionally, especially by making them feel sad and serious', 'to begin doing something in order to achieve an aim or solve a problem', 'to begin to live in a different house or area', 'to change from one activity, interest, situation etc to another', 'to change from one subject to another in a discussion, speech, piece of writing etc', 'to change position, or to make someone or something change position', 'to change the position of objects that you use for playing games on boards', 'to change the time or date of an event, meeting, activity etc', 'to get rid of something by selling it', 'to go or travel very fast', 'to go to a different place', 'to influence someone to do something', 'to leave a place', 'to make a formal proposal at a meeting or in court', 'to persuade someone to change their opinion or decision, or to be persuaded to change yours', 'to progress or develop in a particular way']"
move up,He felt Anne's hand slip under his shirt and move up his spine.,"['to change your position to make space for someone or something', 'to go to a better job, higher level etc', 'to improve your social status, for example by getting a better job']"
move up,Interest rates are beginning to move up.,"['to change your position to make space for someone or something', 'to go to a better job, higher level etc', 'to improve your social status, for example by getting a better job']"
mow down,He's afraid she's going to show up at school with a gun and mow down everybody in sight.,"['to kill a lot of people quickly and violently, especially by shooting them']"
muddle along,"You just muddle along, and if an opportunity comes up, it would be silly not to take it.",['to continue to live or do something without having a clear idea of what you want to achieve']
muddle along,They’re content to just muddle along.,['to continue to live or do something without having a clear idea of what you want to achieve']
muddle through,I muddled through the next few months.,"['to succeed in doing something despite having no clear plan, method, or suitable equipment']"
muddle through,"The new Government wants heavy drug users to go cold turkey, not just muddle through on methadone.","['to succeed in doing something despite having no clear plan, method, or suitable equipment']"
mug up,"And in the meantime, we need to mug up on a bit of history,' Mark put in comfortably.","['to quickly learn something or check that you know it, for example before an examination']"
mug up,"I took my soup mug up to the counter, passing Mark without a word.","['to quickly learn something or check that you know it, for example before an examination']"
mull over,They’ll need time to mull over the proposals.,['to think carefully about something over a period of time']
mull over,"Early teens may sit for long periods mulling over their own hopes, fears, abilities and defects.",['to think carefully about something over a period of time']
muscle in,We didn’t appreciate his muscling in on our conversation.,['to use your power or influence to get involved in a situation in which you are not needed or wanted']
muscle in,They are trying to muscle in and take away our customers.,['to use your power or influence to get involved in a situation in which you are not needed or wanted']
nail down,Friends in high places who could nail down a summer rental for me.,"['to definitely decide, arrange, or complete something', 'to fix something firmly in position with a nail or nails', 'to make someone agree to something or tell you what they are going to do']"
nail down,I’ll try to nail Jim down about the date.,"['to definitely decide, arrange, or complete something', 'to fix something firmly in position with a nail or nails', 'to make someone agree to something or tell you what they are going to do']"
nail up,"A few minutes of solace... Peter closed and locked the door behind him, then replaced the house keys on a nail up under the porch rafters.","['to fix something to a wall with a nail or nails', 'to use nails to fasten a door or window firmly shut']"
name after,Albert was named after his grandfather.,"['to give someone or something the same name as someone or something else, especially the same first name as a member of your family']"
name for,"The prize is named for the late Mexican writer, Juan Rulfo.",['to give a place or an object the same name as a person or another thing']
narrow down,We’re working to narrow down the list of possible suspects.,['to reduce the number of possibilities or choices']
narrow down,That narrowed it down to just two possibilities.,['to reduce the number of possibilities or choices']
nibble away at,Beware of hidden costs that can nibble away at your budget.,['to reduce the total amount of something by gradually using small amounts of it']
nod off,At her age she ought to have been allowed to nod off in some warm chimney nook.,"['to go to sleep, especially when you do not intend to']"
nod off,"I drank it - I was feeling sleepy now, and it wouldn't do to nod off in Florence's drawing room.","['to go to sleep, especially when you do not intend to']"
nose about,I found two men nosing around the boat.,['to try to find out information about someone or something']
nose about,A few kids were nosing around.,['to try to find out information about someone or something']
nose around,I found two men nosing around the boat.,['to try to find out information about someone or something']
nose around,A few kids were nosing around.,['to try to find out information about someone or something']
nose into,I don’t want them nosing into my finances.,['to try to find out information about something']
nose out,We’ve managed to nose out a few things that I’m sure he wouldn’t want to be made public.,"['to find out information, especially something that someone does not want you to know']"
notch up,The company notched up over £10 million in profits last year.,"['to win something, or to achieve something']"
number among,I number him among my friends.,"['to be part of a particular group, or to include someone or something among a particular group']"
number among,He numbers among America’s top authors.,"['to be part of a particular group, or to include someone or something among a particular group']"
number off,The children stand in a line and are numbered off.,['to give each person in a group a number that is used for referring to them']
occur to,It didn’t occur to her to ask how he’d found her.,"['if a thought or idea occurs to you, you suddenly and unexpectedly start to think about it']"
occur to,It suddenly occurred to her that Joe was afraid of being alone.,"['if a thought or idea occurs to you, you suddenly and unexpectedly start to think about it']"
offer up,The friendly staff offer up a real taste of Southwest America.,"['to give thanks, praise, or prayers to God', 'to provide something that is intended to impress, please, or satisfy someone']"
offer up,"Lord, we offer up our prayers to you.","['to give thanks, praise, or prayers to God', 'to provide something that is intended to impress, please, or satisfy someone']"
open out,She opened the map out on the table.,"['if a discussion opens out, or if you open it out, it becomes more general or it starts to include more subjects', 'if a path or passage opens out, it becomes wider at the end', 'if something opens out, or if you open it out, it opens from a folded position so that you can see its shape']"
open out,"They were too open out here, no protection from the dangerous, lightening sky.","['if a discussion opens out, or if you open it out, it becomes more general or it starts to include more subjects', 'if a path or passage opens out, it becomes wider at the end', 'if something opens out, or if you open it out, it opens from a folded position so that you can see its shape']"
open up,"Breathing hard, listening to Titus open up the bar, curled around my lonely pillow, I remember her saying those fatal words.","['if a discussion opens up, or if you open it up, it becomes more general or starts to include more subjects', 'if something opens up, or if you open it up, it opens from a folded position so that you can see its shape', 'same as open', 'to create a difference between the people or groups involved in something', 'to create a new opportunity or possibility', 'to cut into someone’s body for medical reasons', 'to make it easier to travel or do business in a country', 'to open a locked door, container, or building', 'to start shooting a gun', 'to talk more about your personal feelings and experiences']"
open up,"What he said seemed to open up vistas, disquieting views into a landscape she did not like.","['if a discussion opens up, or if you open it up, it becomes more general or starts to include more subjects', 'if something opens up, or if you open it up, it opens from a folded position so that you can see its shape', 'same as open', 'to create a difference between the people or groups involved in something', 'to create a new opportunity or possibility', 'to cut into someone’s body for medical reasons', 'to make it easier to travel or do business in a country', 'to open a locked door, container, or building', 'to start shooting a gun', 'to talk more about your personal feelings and experiences']"
opt for,married couples opting to be taxed as two single persons,['to make a choice or decision from a range of possibilities']
opt for,"After recent setbacks in the market, most people are now opting for low-risk investments.",['to make a choice or decision from a range of possibilities']
opt in,The British government was reluctant to opt into such a system.,['to decide that you want to do something or be involved in something']
opt in,Members are given the choice to opt in.,['to decide that you want to do something or be involved in something']
opt into,The British government was reluctant to opt into such a system.,['to decide that you want to do something or be involved in something']
opt into,Members are given the choice to opt in.,['to decide that you want to do something or be involved in something']
opt out,I had asked Father Whittaker if I might opt out of taking part in the service to act as chief mourner since the old lady had no relatives.,['to decide not to take part in something or to stop taking part in it']
opt out,"If you opt out before December 1st, your deposit will be refunded.",['to decide not to take part in something or to stop taking part in it']
order in,I ordered in pizza for dinner.,['to order food from a restaurant and ask for it to be delivered to you']
order in,"We were too tired to cook, so we ordered in.",['to order food from a restaurant and ask for it to be delivered to you']
order off,The referee had no option but to order him off.,['to tell a player officially to leave the sports field because they have done something that is not allowed by the rules']
order out,"Or perhaps the bell was out of order, making it necessary to leave the gate unlocked.",['to order food from a restaurant and ask for it to be delivered to you']
order out,"We're looking for the place where its machinery is out of order, for the key item.",['to order food from a restaurant and ask for it to be delivered to you']
order up,I decided to order up breakfast.,"['in a hotel, to choose food or drinks and ask for them to be delivered to your room', 'to tell someone to do something, provide something, or deliver something']"
order up,The Pentagon ordered up cruise missile attacks.,"['in a hotel, to choose food or drinks and ask for them to be delivered to your room', 'to tell someone to do something, provide something, or deliver something']"
own up,Two local students later owned up to the prank.,['to admit that you have done something bad or embarrassing']
own up,Dan could have made this whole thing go away simply by owning up.,['to admit that you have done something bad or embarrassing']
pace out,I had already paced out the dimensions of my new home.,['to measure a distance by counting the number of steps that you need to walk from one end of something to the other']
pack away,We packed away the picnic things and started up the engine.,"['to eat a large quantity of food', 'to put something back into the container where it is stored, after you have finished using it']"
pack away,She can really pack it away.,"['to eat a large quantity of food', 'to put something back into the container where it is stored, after you have finished using it']"
pack in,He filled the coffin with logs as efficiently as whoever filled Blake's pack in Benares with bricks.,"['to attract very large audiences', 'to end a sexual or romantic relationship with someone', 'to fill a period of time with a lot of activities', 'to fill something with a lot of people or things', 'to stop doing something, especially a job', 'used for telling someone to stop doing something that is annoying you']"
pack in,"The more people they can pack in, the more money they make.","['to attract very large audiences', 'to end a sexual or romantic relationship with someone', 'to fill a period of time with a lot of activities', 'to fill something with a lot of people or things', 'to stop doing something, especially a job', 'used for telling someone to stop doing something that is annoying you']"
pack into,"The festival offers 16 different shows, all packed into one weekend.","['to fit a lot of activities into a period of time', 'to fit a lot of people or things into a place in large numbers or quantities', 'to fit into a place']"
pack into,For the past six weeks tens of thousands of people have packed into stadiums and arenas to be in the presence of Madonna.,"['to fit a lot of activities into a period of time', 'to fit a lot of people or things into a place in large numbers or quantities', 'to fit into a place']"
pack off,"To avoid family disgrace, Frank was packed off to India.",['to send someone away somewhere suddenly']
pack up,"And it's not going to be over until you pack up everything you took away, and I mean everything!","['if a machine or piece of equipment packs up, it stops working', 'to finish work for the day by putting work or equipment away', 'to put things into a bag, case, or box so that you can take or send them somewhere', 'to stop doing something, especially a job']"
pack up,"But, just as I was about to suggest we pack up and go, she reached out and put her hand on my arm.","['if a machine or piece of equipment packs up, it stops working', 'to finish work for the day by putting work or equipment away', 'to put things into a bag, case, or box so that you can take or send them somewhere', 'to stop doing something, especially a job']"
pad out,Try not to pad your report out with irrelevant statistics.,['to put unnecessary information into something to make it longer']
page down,I quickly paged down till I found his name.,['to press a key on a computer that makes the next page of a document appear on the screen']
page through,"She sat in the waiting room, casually paging through glossy magazines.","['to turn the pages of a book, newspaper, or magazine quickly without reading or looking at it carefully. The usual British word is leaf through']"
page up,She then paged up to the beginning of the document again.,['to press a key on a computer that makes the previous page of a document appear on the screen']
pair off,They paired me off with a gorgeous man.,"['to start a romantic relationship with someone, or to bring two people together because you want them to have a relationship with each other']"
pair off,All our friends seem to be pairing off.,"['to start a romantic relationship with someone, or to bring two people together because you want them to have a relationship with each other']"
pair up,Two students from each class pair up to produce a short play.,"['to form a pair, or to make two people form a pair']"
pan out,"I intended to publish a book, but things didn't quite pan out.","['if a situation pans out in a particular way, it develops in that way']"
pan out,"Tara cursed and grabbed a tissue to mop up the excess, hoping this wasn't a symbol of how the day was going to pan out.","['if a situation pans out in a particular way, it develops in that way']"
paper over,I looked that paper over and gave it back to you decads ago.,['to try to hide a problem or disagreement instead of finding a satisfactory solution to it']
paper over,"Fundamental problems were papered over, not resolved.",['to try to hide a problem or disagreement instead of finding a satisfactory solution to it']
parachute in,They had to parachute her in to tackle the crisis.,['to suddenly put someone in a new job when people do not expect it']
part with,I don’t want to part with any of my books.,['to give something to someone although you would prefer to keep it']
part with,"Been bribed already according to O., still refuses to part with our stuff.",['to give something to someone although you would prefer to keep it']
partition off,The foreman’s office was partitioned off from the shop floor.,['to separate an area from the rest of a room with a partition']
partner up,Could you all please partner up with another student before we begin the game?,"['to become partners, or to make people become partners']"
pass as,"All the way through this wilful journey, pretend knowledge is passed off as the real thing.",['same as pass']
pass away,"Over the weekend, we made memory boxes of the people who had passed away.",['to die. This word is used to avoid saying ‘die’ when you think this might upset someone']
pass away,She passed away last Thursday after she took a turn for the worse.,['to die. This word is used to avoid saying ‘die’ when you think this might upset someone']
pass by,"Did you tell me about that? Sorry, it completely passed me by.","['if something passes you by, you are not able to take advantage of the opportunities it offers', 'if something passes you by, you do not notice it', 'to go past']"
pass by,"Three buses passed by, but none of them was the right one.","['if something passes you by, you are not able to take advantage of the opportunities it offers', 'if something passes you by, you do not notice it', 'to go past']"
pass down,These traditional stories have been passed down from parent to child over many generations.,['to give knowledge or teach skills to your children or to younger people']
pass for,the slogans and name-calling that pass for political debate these days,"['to be accepted, wrongly, as being a particular type of person or thing']"
pass for,"He’s nearly forty, but he could pass for twenty-five.","['to be accepted, wrongly, as being a particular type of person or thing']"
pass off,"And if he got the bill of sale out of your hands, he had some lesser works he was going to pass off to your lawyer as your'art investment.","['if an event passes off in a particular way, it happens in that way', 'same as pass', 'to make people believe that a person or thing is something else']"
pass off,"The watches are fakes, but they tried to pass them off as genuine Rolexes.","['if an event passes off in a particular way, it happens in that way', 'same as pass', 'to make people believe that a person or thing is something else']"
pass on,I took the day off work because I didn’t want to pass on my flu to everyone in the office.,"['same as pass', 'to arrange for a customer to speak to someone else who can give them the information or service that they have asked you for, because you cannot provide it for them', 'to give someone an infectious illness', 'to give someone something that someone else has given you', 'to give something such as a disease to your children through your genes', 'to make someone who is buying something from you pay for the cost of something']"
pass on,I’ll pass these clothes on to my nephew when my lads have outgrown them.,"['same as pass', 'to arrange for a customer to speak to someone else who can give them the information or service that they have asked you for, because you cannot provide it for them', 'to give someone an infectious illness', 'to give someone something that someone else has given you', 'to give something such as a disease to your children through your genes', 'to make someone who is buying something from you pay for the cost of something']"
pass out,"I swear to God my heart was beating so hard, I thought I was going to pass out.","['to give something to each member of a group', 'to officially complete a course at a military or a police college', 'to suddenly become unconscious, for example because you are too hot']"
pass out,People everywhere were passing out from the heat.,"['to give something to each member of a group', 'to officially complete a course at a military or a police college', 'to suddenly become unconscious, for example because you are too hot']"
pass over,"I mentioned that you were unhappy with your salary, but it was passed over.","['to ignore or not mention a statement or subject', 'to not give someone a better job, choosing instead someone who is younger or has less experience']"
pass over,We don't die - we pass over or pass away.,"['to ignore or not mention a statement or subject', 'to not give someone a better job, choosing instead someone who is younger or has less experience']"
pass round,The photos were passed round for each of them to have a look at.,"['to collect money from people in a group for a particular purpose', 'to give something to one person in a group, who gives it to someone else, who then gives it to someone else etc']"
pass to,She passed her driving test.,"['if a law, proposal etc passes, or passes a particular law-making body, it becomes official as the result of a vote', 'if a road, river, or stream passes through, across etc a place, its path follows that direction', 'if time or a period of time passes, it happens and comes to an end', 'if words or looks pass between people, they speak to each other or look at each other in a particular way', 'to be successful in an examination or test by achieving a satisfactory standard', 'to be unable to answer a question, especially in a test', 'to become more than a particular amount', 'to change from one state to another', 'to come to an end', 'to die', 'to give information, especially to the police or to an enemy', 'to give someone false money as payment for something', 'to go past something', 'to happen, or to be allowed to happen', 'to kick, hit, or throw the ball to another player in a sports team', 'to make a comment or give an opinion, especially in order to criticize someone or something', 'to make a law, proposal etc become official, usually by voting to accept it', 'to make something leave your body as a waste product or in a waste product', 'to move in a particular direction or to a particular place or position', 'to move something in a particular direction or to a particular place or position', 'to not play a card or not make a bid in a card game', 'to officially judge that someone has been successful in an examination or test because they have achieved a satisfactory standard', 'to overtake another vehicle that is travelling in the same direction', 'to put something into someone’s hand or into a position where they can take it', 'to spend time doing something', 'to stop being owned or controlled by one person and start being owned or controlled by another', 'used for saying that you do not know the answer to a question']"
pass to,"Saunders was a paid informer, passing information to the secret police.","['if a law, proposal etc passes, or passes a particular law-making body, it becomes official as the result of a vote', 'if a road, river, or stream passes through, across etc a place, its path follows that direction', 'if time or a period of time passes, it happens and comes to an end', 'if words or looks pass between people, they speak to each other or look at each other in a particular way', 'to be successful in an examination or test by achieving a satisfactory standard', 'to be unable to answer a question, especially in a test', 'to become more than a particular amount', 'to change from one state to another', 'to come to an end', 'to die', 'to give information, especially to the police or to an enemy', 'to give someone false money as payment for something', 'to go past something', 'to happen, or to be allowed to happen', 'to kick, hit, or throw the ball to another player in a sports team', 'to make a comment or give an opinion, especially in order to criticize someone or something', 'to make a law, proposal etc become official, usually by voting to accept it', 'to make something leave your body as a waste product or in a waste product', 'to move in a particular direction or to a particular place or position', 'to move something in a particular direction or to a particular place or position', 'to not play a card or not make a bid in a card game', 'to officially judge that someone has been successful in an examination or test because they have achieved a satisfactory standard', 'to overtake another vehicle that is travelling in the same direction', 'to put something into someone’s hand or into a position where they can take it', 'to spend time doing something', 'to stop being owned or controlled by one person and start being owned or controlled by another', 'used for saying that you do not know the answer to a question']"
pass up,Possibly the fact that they both knew she was too good for Cyberdyne to pass up.,['to not take advantage of an opportunity']
pass up,I can’t believe you passed up the chance to do a parachute jump.,['to not take advantage of an opportunity']
pat down,A woman was brought over to pat me down.,"['to touch someone’s clothes in order to check whether they are carrying something such as a weapon or illegal drugs, for example at an airport']"
patch together,We managed to patch together an impromptu evening’s entertainment.,['to make something quickly and often carelessly by putting together various objects or ideas']
patch up,"""Scout out someplace we can sleep tonight while you folks patch up the wounded as best you can.","['to become friends with someone again after a disagreement', 'to give basic medical treatment to someone who is injured', 'to repair something, often quickly and not very well']"
patch up,"Apparently, they’ve since patched things up with their father.","['to become friends with someone again after a disagreement', 'to give basic medical treatment to someone who is injured', 'to repair something, often quickly and not very well']"
pave over,Many of the region’s orchards have been paved over.,['to cover an area of ground by paving it']
pawn off,I managed to pawn off all of the old stock.,"['to persuade someone to buy or accept something that you do not want, especially something of low quality']"
pawn off as,They tried to pawn him off as some sort of expert.,['to pretend that someone or something is a person or thing that they are not in order to trick someone else']
pay back,It claims most people pay back within ten days and 30 per cent before that.,"['to do something bad to someone because they have done something bad to you', 'to give someone the same amount of money that you borrowed from them']"
pay back,No students will have to pay back any loan for their education until they complete their degree.,"['to do something bad to someone because they have done something bad to you', 'to give someone the same amount of money that you borrowed from them']"
pay for,I’d like to pay with my card.,"['a philosophy that the receiver of a gift, feeling grateful for a kindness, at the request of the gifter must not say thank you, instead they are to pay the kindness forward when the opportunity presents itself', 'an exclamation used to express your frustration with some service', 'if a business pays, it earns money', 'if a job pays a particular amount of money, you get that amount for doing it', 'to give a company, institution etc money that you owe them', 'to give money in order to buy something', 'to give money to someone who does a job for you', 'to give someone their salary', 'to have a good result', 'to suffer because of something that you have done']"
pay for,The message you get from the film is simple: crime doesn’t pay.,"['a philosophy that the receiver of a gift, feeling grateful for a kindness, at the request of the gifter must not say thank you, instead they are to pay the kindness forward when the opportunity presents itself', 'an exclamation used to express your frustration with some service', 'if a business pays, it earns money', 'if a job pays a particular amount of money, you get that amount for doing it', 'to give a company, institution etc money that you owe them', 'to give money in order to buy something', 'to give money to someone who does a job for you', 'to give someone their salary', 'to have a good result', 'to suffer because of something that you have done']"
pay in,I’d like to pay these two cheques in.,['to put money into your bank account']
pay into,You can pay cash into any one of our three hundred branches.,"['to invest money in something such as an insurance policy or a pension fund so that you will receive money in the future', 'to put money into your bank account']"
pay into,She pays into the employees’ pension scheme.,"['to invest money in something such as an insurance policy or a pension fund so that you will receive money in the future', 'to put money into your bank account']"
pay off,There were suspicions that officials had been paid off.,"['if something that you do pays off, it brings you some benefit', 'to give someone all the money that you have borrowed from them to buy something', 'to give someone money so that they will do something bad or dishonest for you', 'to give someone money so that they will not do something that will cause you problems, especially by telling people about something bad that you have done', 'to stop employing a worker and give them any money that they are owed']"
pay off,"And if he could not pay off his debt, they would nail him to the wall.","['if something that you do pays off, it brings you some benefit', 'to give someone all the money that you have borrowed from them to buy something', 'to give someone money so that they will do something bad or dishonest for you', 'to give someone money so that they will not do something that will cause you problems, especially by telling people about something bad that you have done', 'to stop employing a worker and give them any money that they are owed']"
pay out,It’ll be a few years before our investments start paying out.,"['if you pay out a rope, you gradually let it become straight and long so that it is no longer wound in a series of circles', 'to provide money from an amount invested over a period of time', 'to spend or pay money, especially a lot of money']"
pay out,"Last week, they bid up the hush money we pay out to that bent inspector, an ""he closed us down in two places.","['if you pay out a rope, you gradually let it become straight and long so that it is no longer wound in a series of circles', 'to provide money from an amount invested over a period of time', 'to spend or pay money, especially a lot of money']"
pay up,But I'm happy to pay up and go see the Macy Blake cod feminist bullshit collection before we go.,"['to pay money that you owe, especially when you are unwilling to pay']"
pay up,We’re waiting for the insurance company to pay up.,"['to pay money that you owe, especially when you are unwilling to pay']"
peck at,Debbie just pecked at her food.,"['to eat only a small amount of a meal, without much interest']"
peel away,The kids peeled off their wet clothes.,"['to remove a tight or wet piece of clothing', 'to start moving in a different direction from the people or vehicles that you are with']"
peel away,One by one the aircraft started to peel off.,"['to remove a tight or wet piece of clothing', 'to start moving in a different direction from the people or vehicles that you are with']"
peel off,"Could probably buy five Porsches, peel off the two hundred thou in big bills and never miss the cash.","['to remove a tight or wet piece of clothing', 'to start moving in a different direction from the people or vehicles that you are with']"
peel off,"He crawled into the unmade bed, then reached down to peel off his socks.","['to remove a tight or wet piece of clothing', 'to start moving in a different direction from the people or vehicles that you are with']"
peel out,She peeled out of the car park.,['to suddenly make a car start moving very quickly so that it makes a lot of noise']
peg away,I don’t know how people peg away at such a dull job.,"['to keep doing something in a determined way, especially when it is boring or difficult']"
peg back,They took the lead early but were pegged back by an equalizer from Johnny Jameson.,"['to control something such as prices or salaries so that they do not increase above a particular level', 'to prevent an opponent from winning in a game or competition']"
peg back,Government measures to peg back inflation have caused a recession.,"['to control something such as prices or salaries so that they do not increase above a particular level', 'to prevent an opponent from winning in a game or competition']"
peg out,"I saw Mum across the room, chatting up a man who looked like he might peg out at any moment.","['to die', 'to fall down or have to go to bed because you are so tired', 'to fasten wet clothes on a line to dry', 'to mark a piece of land with metal or wooden pegs']"
peg out,John was pegging out the washing.,"['to die', 'to fall down or have to go to bed because you are so tired', 'to fasten wet clothes on a line to dry', 'to mark a piece of land with metal or wooden pegs']"
pen in,We penned the sheep in for the night.,"['same as pen', 'to make it impossible for someone to get out of a place', 'to make someone feel that they cannot escape from a situation']"
pen in,"A van was parked behind me, penning me in.","['same as pen', 'to make it impossible for someone to get out of a place', 'to make someone feel that they cannot escape from a situation']"
pen up,Before she left she penned up both dogs in the back yard.,['same as pen']
pencil in,"He was still wearing his school blazer, and there was a stub of pencil in the top pocket.","['to arrange for something to happen or for someone to do something, knowing that it may have to be changed later']"
pencil in,There was a pencil in his hand and he pointed at the picture.,"['to arrange for something to happen or for someone to do something, knowing that it may have to be changed later']"
pep up,We need to look at ways of pepping up the economy.,['to make someone or something more active and lively']
pep up,A short break would pep you up.,['to make someone or something more active and lively']
perk up,"He began to perk up, though, once the coffee started warming his gullet, and decided he'd have a","['if someone perks up, or if something perks them up, they begin to feel happier or more lively', 'to become more interesting or exciting, or to make something do this']"
perk up,Some chilli sauce will perk it up.,"['if someone perks up, or if something perks them up, they begin to feel happier or more lively', 'to become more interesting or exciting, or to make something do this']"
permit of,The results of the test permit of no other interpretation.,['to make something possible']
peter out,The conversation soon petered out.,['to gradually become smaller or weaker before coming to an end or disappearing completely']
phase in,"She'd thought, in fact, to dig them out as part of the next phase in her campaign to move in with him.",['to gradually start using something']
phase in,Turner had been scouting out suitable shipyards along the Dutch coast for the next phase in Brunner's project.,['to gradually start using something']
phase out,"Over the following three years, the use of the drug will be phased out.",['to gradually stop using something']
phone back,She’s not in at the moment. Can you phone back later?,"['to phone someone again, or to phone someone who phoned you earlier when you were away or were too busy to speak to them']"
phone back,I’ve got someone at the door. I’ll phone you back.,"['to phone someone again, or to phone someone who phoned you earlier when you were away or were too busy to speak to them']"
phone in,Another reporter phoned in later with the story.,"['to telephone a radio or television programme with a question or comment', 'to telephone the place where you work in order to give a message']"
